(72, 93)
(41, 129)
(78, 106)
(83, 106)
(111, 95)
(133, 75)
(159, 69)
(148, 82)
(54, 185)
(133, 115)
(138, 115)
(127, 155)
(221, 66)
(98, 196)
(176, 122)
(115, 194)
(251, 58)
(65, 245)
(203, 116)
(81, 244)
(148, 194)
(234, 117)
(228, 124)
(168, 189)
(97, 272)
(131, 238)
(121, 258)
(113, 273)
(286, 103)
(197, 197)
(170, 230)
(248, 152)
(304, 104)
(242, 184)
(227, 215)
(317, 144)
(154, 323)
(190, 288)
(131, 351)
(235, 262)
(209, 295)
(273, 257)
(238, 298)
(339, 202)
(270, 275)
(298, 312)
(350, 272)
(302, 341)
(355, 304)
(350, 353)
